text,label,domain,timestamp,clean_text,tokens,joined_tokens
The unstable outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-12 11:53:10.155048,The unstable outage in my area is causing frequent dropped calls.,"['unstable', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable outage area causing frequent dropped call
The frustrating invoice in my area is causing frequent dropped calls.,negative,telecom,2025-07-12 23:10:22.320255,The frustrating invoice in my area is causing frequent dropped calls.,"['frustrating', 'invoice', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating invoice area causing frequent dropped call
My roaming has been intermittent for the past few hours.,positive,telecom,2025-07-12 12:31:34.485461,My roaming has been intermittent for the past few hours.,"['roaming', 'intermittent', 'past', 'hour']",roaming intermittent past hour
THE OVERPRICED DROPPED CALL IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,negative,telecom,2025-07-13 05:21:46.650668,THE OVERPRICED DROPPED CALL IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,"['overpriced', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced dropped call area causing frequent dropped call
I need to speak with invoice about a excellent charge. ?!?,positive,telecom,2025-07-12 14:20:58.815874,I need to speak with invoice about a excellent charge. ?,"['need', 'speak', 'invoice', 'excellent', 'charge']",need speak invoice excellent charge
I was resolved an incorrect amount on my recent invoice.,positive,telecom,2025-07-13 12:21:10.981081,I was resolved an incorrect amount on my recent invoice.,"['resolved', 'incorrect', 'amount', 'recent', 'invoice']",resolved incorrect amount recent invoice
I NEED TO SPEAK WITH SIGNAL ABOUT A EXCELLENT CHARGE.,positive,telecom,2025-07-13 05:30:23.146287,I NEED TO SPEAK WITH SIGNAL ABOUT A EXCELLENT CHARGE.,"['need', 'speak', 'signal', 'excellent', 'charge']",need speak signal excellent charge
[REF-3564] The frustrating billing in my area is causing freque ... nt dropped calls.,negative,telecom,2025-07-13 14:02:35.311494,[REF-3564] The frustrating billing in my area is causing freque . nt dropped calls.,"['ref-3564', 'frustrating', 'billing', 'area', 'causing', 'freque', 'nt', 'dropped', 'call']",ref-3564 frustrating billing area causing freque nt dropped call
The intermittent SIM card in my area is causing frequent dropped calls.,negative,telecom,2025-07-13 16:08:47.476700,The intermittent SIM card in my area is causing frequent dropped calls.,"['intermittent', 'sim', 'card', 'area', 'causing', 'frequent', 'dropped', 'call']",intermittent sim card area causing frequent dropped call
The frustrating dropped call in my area is causing frequent dropped calls.,negative,telecom,2025-07-13 23:18:59.641907,The frustrating dropped call in my area is causing frequent dropped calls.,"['frustrating', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating dropped call area causing frequent dropped call
The overpriced coverage in my area is causing frequent dropped calls.,negative,telecom,2025-07-13 11:38:11.807113,The overpriced coverage in my area is causing frequent dropped calls.,"['overpriced', 'coverage', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced coverage area causing frequent dropped call
I was upgraded an incorrect amount on my recent roaming.,positive,telecom,2025-07-13 23:15:23.972320,I was upgraded an incorrect amount on my recent roaming.,"['upgraded', 'incorrect', 'amount', 'recent', 'roaming']",upgraded incorrect amount recent roaming
The intermittent outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-13 16:11:36.137526,The intermittent outage in my area is causing frequent dropped calls.,"['intermittent', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",intermittent outage area causing frequent dropped call
The unstable outage i you know n my area is causing frequent dropped calls.,negative,telecom,2025-07-14 00:50:48.302733,The unstable outage i you know n my area is causing frequent dropped calls.,"['unstable', 'outage', 'know', 'n', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable outage know n area causing frequent dropped call
The frustr ... ating customer service in my area is causing frequent dropped calls.,negative,telecom,2025-07-14 03:02:00.467939,The frustr . ating customer service in my area is causing frequent dropped calls.,"['frustr', 'ating', 'customer', 'service', 'area', 'causing', 'frequent', 'dropped', 'call']",frustr ating customer service area causing frequent dropped call
The unstable SIM card in my area is causing frequent droppe you know d calls.,negative,telecom,2025-07-13 18:31:12.633146,The unstable SIM card in my area is causing frequent droppe you know d calls.,"['unstable', 'sim', 'card', 'area', 'causing', 'frequent', 'droppe', 'know', 'call']",unstable sim card area causing frequent droppe know call
[REF-6385] The intermittent outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-14 14:00:24.798352,[REF-6385] The intermittent outage in my area is causing frequent dropped calls.,"['ref-6385', 'intermittent', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",ref-6385 intermittent outage area causing frequent dropped call
The frustrating dropped call in my area is causing frequent dropped calls.,negative,telecom,2025-07-14 05:44:36.963559,The frustrating dropped call in my area is causing frequent dropped calls.,"['frustrating', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating dropped call area causing frequent dropped call
[REF-3098] My mobile roaming was suddenly reported without any warning.,neutral,telecom,2025-07-15 01:06:49.128765,[REF-3098] My mobile roaming was suddenly reported without any warning.,"['ref-3098', 'mobile', 'roaming', 'suddenly', 'reported', 'without', 'warning']",ref-3098 mobile roaming suddenly reported without warning
The unstable invoice i like n my area is causing frequent dropped calls.,negative,telecom,2025-07-14 07:29:01.293972,The unstable invoice i like n my area is causing frequent dropped calls.,"['unstable', 'invoice', 'like', 'n', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable invoice like n area causing frequent dropped call
The overpriced customer service in my area is causing frequent dropped calls. ?!?,negative,telecom,2025-07-14 19:58:13.459178,The overpriced customer service in my area is causing frequent dropped calls. ?,"['overpriced', 'customer', 'service', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced customer service area causing frequent dropped call
My mobile signal was suddenly escalated without any warning.,positive,telecom,2025-07-14 23:40:25.624385,My mobile signal was suddenly escalated without any warning.,"['mobile', 'signal', 'suddenly', 'escalated', 'without', 'warning']",mobile signal suddenly escalated without warning
I need to speak with customer service about a helpful charge.,positive,telecom,2025-07-15 00:38:37.789591,I need to speak with customer service about a helpful charge.,"['need', 'speak', 'customer', 'service', 'helpful', 'charge']",need speak customer service helpful charge
My signal has been intermittent for the past few hours.,positive,telecom,2025-07-14 16:51:49.954798,My signal has been intermittent for the past few hours.,"['signal', 'intermittent', 'past', 'hour']",signal intermittent past hour
My coverage has b you know een unlimited for the past few hours.,positive,telecom,2025-07-15 13:37:02.120004,My coverage has b you know een unlimited for the past few hours.,"['coverage', 'b', 'know', 'een', 'unlimited', 'past', 'hour']",coverage b know een unlimited past hour
The overpriced customer service in my area is causing frequent dropped calls.,negative,telecom,2025-07-15 14:38:14.285211,The overpriced customer service in my area is causing frequent dropped calls.,"['overpriced', 'customer', 'service', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced customer service area causing frequent dropped call
The frustrating signal in my area is causing frequent dropped calls.,neutral,telecom,2025-07-15 23:34:26.450417,The frustrating signal in my area is causing frequent dropped calls.,"['frustrating', 'signal', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating signal area causing frequent dropped call
CAN YOU CHECK IF THERE IS A SERVICE INVOICE IN MY LOCATION?,positive,telecom,2025-07-15 17:30:38.615624,CAN YOU CHECK IF THERE IS A SERVICE INVOICE IN MY LOCATION?,"['check', 'service', 'invoice', 'location']",check service invoice location
The intermittent SIM card in my area is causing frequent dropped calls.,negative,telecom,2025-07-16 02:29:50.780830,The intermittent SIM card in my area is causing frequent dropped calls.,"['intermittent', 'sim', 'card', 'area', 'causing', 'frequent', 'dropped', 'call']",intermittent sim card area causing frequent dropped call
The unstable signal in my area is causing frequent dropped calls.,negative,telecom,2025-07-15 22:10:02.946037,The unstable signal in my area is causing frequent dropped calls.,"['unstable', 'signal', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable signal area causing frequent dropped call
My billing has been unlimited for the past few hours.,positive,telecom,2025-07-15 17:37:15.111243,My billing has been unlimited for the past few hours.,"['billing', 'unlimited', 'past', 'hour']",billing unlimited past hour
The overpriced dropped call in my area is causing frequent dropped calls.,negative,telecom,2025-07-16 00:04:27.276450,The overpriced dropped call in my area is causing frequent dropped calls.,"['overpriced', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced dropped call area causing frequent dropped call
I need to speak with data plan about a helpful charge.!!!,positive,telecom,2025-07-16 04:19:39.441656,I need to speak with data plan about a helpful charge!,"['need', 'speak', 'data', 'plan', 'helpful', 'charge']",need speak data plan helpful charge
The poor outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-16 07:35:51.606863,The poor outage in my area is causing frequent dropped calls.,"['poor', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",poor outage area causing frequent dropped call
I was restarted an incorrect amount on my recent data plan.,positive,telecom,2025-07-16 15:48:03.772070,I was restarted an incorrect amount on my recent data plan.,"['restarted', 'incorrect', 'amount', 'recent', 'data', 'plan']",restarted incorrect amount recent data plan
I need to speak with billing about a intermittent charge.,positive,telecom,2025-07-16 08:06:15.937276,I need to speak with billing about a intermittent charge.,"['need', 'speak', 'billing', 'intermittent', 'charge']",need speak billing intermittent charge
THE POOR SIM CARD IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,negative,telecom,2025-07-16 14:04:28.102483,THE POOR SIM CARD IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,"['poor', 'sim', 'card', 'area', 'causing', 'frequent', 'dropped', 'call']",poor sim card area causing frequent dropped call
I was charged an incorrect amount on my recent coverage.,positive,telecom,2025-07-17 03:24:40.267689,I was charged an incorrect amount on my recent coverage.,"['charged', 'incorrect', 'amount', 'recent', 'coverage']",charged incorrect amount recent coverage
I was upgraded an incorrect amount on my recent signal.,positive,telecom,2025-07-17 00:04:52.432896,I was upgraded an incorrect amount on my recent signal.,"['upgraded', 'incorrect', 'amount', 'recent', 'signal']",upgraded incorrect amount recent signal
I need to speak w ... ith invoice about a unlimited charge.,positive,telecom,2025-07-16 23:30:04.598102,I need to speak w . ith invoice about a unlimited charge.,"['need', 'speak', 'w', 'ith', 'invoice', 'unlimited', 'charge']",need speak w ith invoice unlimited charge
The unstable dropped call in my area is causing frequent dropped calls.,negative,telecom,2025-07-17 08:01:16.763309,The unstable dropped call in my area is causing frequent dropped calls.,"['unstable', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable dropped call area causing frequent dropped call
I was reported an incorrect amount on my recent signal.,neutral,telecom,2025-07-17 01:58:28.928515,I was reported an incorrect amount on my recent signal.,"['reported', 'incorrect', 'amount', 'recent', 'signal']",reported incorrect amount recent signal
My billing has been excellent for the past few hours.,positive,telecom,2025-07-17 09:40:41.093722,My billing has been excellent for the past few hours.,"['billing', 'excellent', 'past', 'hour']",billing excellent past hour
My mobile customer service was suddenly throttled without any warning.,neutral,telecom,2025-07-17 07:53:53.258928,My mobile customer service was suddenly throttled without any warning.,"['mobile', 'customer', 'service', 'suddenly', 'throttled', 'without', 'warning']",mobile customer service suddenly throttled without warning
The overpriced outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-17 08:24:05.424135,The overpriced outage in my area is causing frequent dropped calls.,"['overpriced', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced outage area causing frequent dropped call
My invoice has been poor for the past few hours.,neutral,telecom,2025-07-17 05:28:17.589341,My invoice has been poor for the past few hours.,"['invoice', 'poor', 'past', 'hour']",invoice poor past hour
The frustrating invoice in my area is causing frequent dropped calls.,negative,telecom,2025-07-17 22:45:29.754548,The frustrating invoice in my area is causing frequent dropped calls.,"['frustrating', 'invoice', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating invoice area causing frequent dropped call
The intermittent customer service in my area is causing frequent dropped calls.,negative,telecom,2025-07-18 01:33:41.919754,The intermittent customer service in my area is causing frequent dropped calls.,"['intermittent', 'customer', 'service', 'area', 'causing', 'frequent', 'dropped', 'call']",intermittent customer service area causing frequent dropped call
I was upgraded an incorrect amount on my recent coverage.,positive,telecom,2025-07-17 11:47:54.084961,I was upgraded an incorrect amount on my recent coverage.,"['upgraded', 'incorrect', 'amount', 'recent', 'coverage']",upgraded incorrect amount recent coverage
The poor invoice in my area is causing frequent dropped calls.,negative,telecom,2025-07-18 08:27:06.250167,The poor invoice in my area is causing frequent dropped calls.,"['poor', 'invoice', 'area', 'causing', 'frequent', 'dropped', 'call']",poor invoice area causing frequent dropped call
The overpriced dropped call in my area is causing frequent dropped calls....,negative,telecom,2025-07-17 19:37:18.415374,The overpriced dropped call in my area is causing frequent dropped calls.,"['overpriced', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced dropped call area causing frequent dropped call
My mobile network was suddenly upgraded without any warning.,positive,telecom,2025-07-18 12:06:30.580580,My mobile network was suddenly upgraded without any warning.,"['mobile', 'network', 'suddenly', 'upgraded', 'without', 'warning']",mobile network suddenly upgraded without warning
[REF-9524] The frustrating network in my area is causing frequent dropped calls.,negative,telecom,2025-07-18 04:18:42.745787,[REF-9524] The frustrating network in my area is causing frequent dropped calls.,"['ref-9524', 'frustrating', 'network', 'area', 'causing', 'frequent', 'dropped', 'call']",ref-9524 frustrating network area causing frequent dropped call
The unstable invoice in my area is causing frequent dropped calls.,negative,telecom,2025-07-18 19:17:54.910993,The unstable invoice in my area is causing frequent dropped calls.,"['unstable', 'invoice', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable invoice area causing frequent dropped call
MY MOBILE DATA PLAN WAS SUDDENLY RESTARTED WITHOUT ANY WARNING.,positive,telecom,2025-07-18 08:19:07.076200,MY MOBILE DATA PLAN WAS SUDDENLY RESTARTED WITHOUT ANY WARNING.,"['mobile', 'data', 'plan', 'suddenly', 'restarted', 'without', 'warning']",mobile data plan suddenly restarted without warning
I need to speak with roaming about a helpful charge.,positive,telecom,2025-07-19 00:17:19.241406,I need to speak with roaming about a helpful charge.,"['need', 'speak', 'roaming', 'helpful', 'charge']",need speak roaming helpful charge
I NEED TO SPEAK WITH INVOICE ABOUT A EXCELLENT CHARGE.,positive,telecom,2025-07-19 03:46:31.406613,I NEED TO SPEAK WITH INVOICE ABOUT A EXCELLENT CHARGE.,"['need', 'speak', 'invoice', 'excellent', 'charge']",need speak invoice excellent charge
The frustrating network in my area is causing frequent dropped calls.,negative,telecom,2025-07-18 17:27:43.571819,The frustrating network in my area is causing frequent dropped calls.,"['frustrating', 'network', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating network area causing frequent dropped call
The overpriced outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-19 06:07:55.737026,The overpriced outage in my area is causing frequent dropped calls.,"['overpriced', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced outage area causing frequent dropped call
I was resolved an incorrect amount on my recent data plan.!!!,positive,telecom,2025-07-19 00:55:07.902232,I was resolved an incorrect amount on my recent data plan!,"['resolved', 'incorrect', 'amount', 'recent', 'data', 'plan']",resolved incorrect amount recent data plan
The unstable network in my area is causing frequent dropped calls.,negative,telecom,2025-07-19 08:43:20.067439,The unstable network in my area is causing frequent dropped calls.,"['unstable', 'network', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable network area causing frequent dropped call
The poor dropped call in my area is causing frequent dropped calls.,negative,telecom,2025-07-19 19:43:32.232645,The poor dropped call in my area is causing frequent dropped calls.,"['poor', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",poor dropped call area causing frequent dropped call
Can you check if there is a service network in my location?,neutral,telecom,2025-07-19 08:39:44.397852,Can you check if there is a service network in my location?,"['check', 'service', 'network', 'location']",check service network location
The unstable signal in my area is causing frequent dropped calls.,negative,telecom,2025-07-19 15:19:56.563058,The unstable signal in my area is causing frequent dropped calls.,"['unstable', 'signal', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable signal area causing frequent dropped call
I was resolved an incorrect amount on my recent customer service.,positive,telecom,2025-07-20 04:01:08.728265,I was resolved an incorrect amount on my recent customer service.,"['resolved', 'incorrect', 'amount', 'recent', 'customer', 'service']",resolved incorrect amount recent customer service
The intermittent signal in my area is causing frequent dropped calls.,neutral,telecom,2025-07-20 07:08:20.893471,The intermittent signal in my area is causing frequent dropped calls.,"['intermittent', 'signal', 'area', 'causing', 'frequent', 'dropped', 'call']",intermittent signal area causing frequent dropped call
THE UNSTABLE DROPPED CALL IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,negative,telecom,2025-07-19 19:10:33.058678,THE UNSTABLE DROPPED CALL IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,"['unstable', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable dropped call area causing frequent dropped call
The poor roaming in my area is causing frequent dropped calls.,negative,telecom,2025-07-20 12:17:45.223884,The poor roaming in my area is causing frequent dropped calls.,"['poor', 'roaming', 'area', 'causing', 'frequent', 'dropped', 'call']",poor roaming area causing frequent dropped call
I need to speak with outage about a unstable charge.,neutral,telecom,2025-07-19 19:24:57.389091,I need to speak with outage about a unstable charge.,"['need', 'speak', 'outage', 'unstable', 'charge']",need speak outage unstable charge
My customer service has been unlimited for the past few hours. ?!?,positive,telecom,2025-07-20 01:10:09.554297,My customer service has been unlimited for the past few hours. ?,"['customer', 'service', 'unlimited', 'past', 'hour']",customer service unlimited past hour
The unstable signal in my area is causing frequent dropped calls. ?!?,negative,telecom,2025-07-20 06:49:21.719504,The unstable signal in my area is causing frequent dropped calls. ?,"['unstable', 'signal', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable signal area causing frequent dropped call
The frustrating customer service in my area is causing frequent dropped calls.,negative,telecom,2025-07-20 17:13:33.884710,The frustrating customer service in my area is causing frequent dropped calls.,"['frustrating', 'customer', 'service', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating customer service area causing frequent dropped call
My mobile network was suddenly escalated without any warning.,positive,telecom,2025-07-20 06:26:46.049917,My mobile network was suddenly escalated without any warning.,"['mobile', 'network', 'suddenly', 'escalated', 'without', 'warning']",mobile network suddenly escalated without warning
My data plan has been helpful for the past few hours. ?!?,positive,telecom,2025-07-21 06:16:58.215123,My data plan has been helpful for the past few hours. ?,"['data', 'plan', 'helpful', 'past', 'hour']",data plan helpful past hour
[REF-3589] The poor data plan in my area is causing frequent dropped calls.,negative,telecom,2025-07-20 15:37:10.380330,[REF-3589] The poor data plan in my area is causing frequent dropped calls.,"['ref-3589', 'poor', 'data', 'plan', 'area', 'causing', 'frequent', 'dropped', 'call']",ref-3589 poor data plan area causing frequent dropped call
[REF-1985] The poor billing in my area is causing frequent dropped calls. ?!?,negative,telecom,2025-07-20 21:47:22.545536,[REF-1985] The poor billing in my area is causing frequent dropped calls. ?,"['ref-1985', 'poor', 'billing', 'area', 'causing', 'frequent', 'dropped', 'call']",ref-1985 poor billing area causing frequent dropped call
My mobile billing was suddenly activated without any warning.,positive,telecom,2025-07-20 22:52:34.710743,My mobile billing was suddenly activated without any warning.,"['mobile', 'billing', 'suddenly', 'activated', 'without', 'warning']",mobile billing suddenly activated without warning
I was restarted an incorrect amount on my recent dropped call.,neutral,telecom,2025-07-21 09:42:46.875949,I was restarted an incorrect amount on my recent dropped call.,"['restarted', 'incorrect', 'amount', 'recent', 'dropped', 'call']",restarted incorrect amount recent dropped call
The overpriced data plan in my area is causing frequent dropped calls.,negative,telecom,2025-07-21 01:31:59.041156,The overpriced data plan in my area is causing frequent dropped calls.,"['overpriced', 'data', 'plan', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced data plan area causing frequent dropped call
Can you check if there is a service billing in my location?,positive,telecom,2025-07-21 05:00:11.206362,Can you check if there is a service billing in my location?,"['check', 'service', 'billing', 'location']",check service billing location
CAN YOU CHECK IF THERE IS A SERVICE INVOICE IN MY LOCATION?,positive,telecom,2025-07-21 21:29:23.371569,CAN YOU CHECK IF THERE IS A SERVICE INVOICE IN MY LOCATION?,"['check', 'service', 'invoice', 'location']",check service invoice location
I need to speak with dropped c like all about a unstable charge....,neutral,telecom,2025-07-21 14:25:35.536775,I need to speak with dropped c like all about a unstable charge.,"['need', 'speak', 'dropped', 'c', 'like', 'unstable', 'charge']",need speak dropped c like unstable charge
I need to speak with signal about a unlimited charge.,positive,telecom,2025-07-22 04:02:47.701982,I need to speak with signal about a unlimited charge.,"['need', 'speak', 'signal', 'unlimited', 'charge']",need speak signal unlimited charge
The overpriced coverage in my area is causing frequent dropped calls.,negative,telecom,2025-07-21 17:16:59.867188,The overpriced coverage in my area is causing frequent dropped calls.,"['overpriced', 'coverage', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced coverage area causing frequent dropped call
The poor invoice in my area is causing frequent dropped calls.,negative,telecom,2025-07-22 10:30:12.032395,The poor invoice in my area is causing frequent dropped calls.,"['poor', 'invoice', 'area', 'causing', 'frequent', 'dropped', 'call']",poor invoice area causing frequent dropped call
The frustrating roaming in my area is causing frequent dropped calls.,negative,telecom,2025-07-22 05:49:24.197601,The frustrating roaming in my area is causing frequent dropped calls.,"['frustrating', 'roaming', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating roaming area causing frequent dropped call
