text,label,domain,timestamp,clean_text,tokens,joined_tokens,vader_compound,vader_pos,vader_neu,vader_neg
The intermittent SIM card in my area is causing frequent dropped calls.,negative,telecom,2025-07-13 16:08:47.476700,The intermittent SIM card in my area is causing frequent dropped calls.,"['intermittent', 'sim', 'card', 'area', 'causing', 'frequent', 'dropped', 'call']",intermittent sim card area causing frequent dropped call,0.0,0.0,1.0,0.0
The frustrating dropped call in my area is causing frequent dropped calls.,negative,telecom,2025-07-13 23:18:59.641907,The frustrating dropped call in my area is causing frequent dropped calls.,"['frustrating', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating dropped call area causing frequent dropped call,-0.4404,0.0,0.791,0.209
The overpriced coverage in my area is causing frequent dropped calls.,negative,telecom,2025-07-13 11:38:11.807113,The overpriced coverage in my area is causing frequent dropped calls.,"['overpriced', 'coverage', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced coverage area causing frequent dropped call,0.0,0.0,1.0,0.0
I was upgraded an incorrect amount on my recent roaming.,positive,telecom,2025-07-13 23:15:23.972320,I was upgraded an incorrect amount on my recent roaming.,"['upgraded', 'incorrect', 'amount', 'recent', 'roaming']",upgraded incorrect amount recent roaming,0.0,0.0,1.0,0.0
The intermittent outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-13 16:11:36.137526,The intermittent outage in my area is causing frequent dropped calls.,"['intermittent', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",intermittent outage area causing frequent dropped call,0.0,0.0,1.0,0.0
The unstable outage i you know n my area is causing frequent dropped calls.,negative,telecom,2025-07-14 00:50:48.302733,The unstable outage i you know n my area is causing frequent dropped calls.,"['unstable', 'outage', 'know', 'n', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable outage know n area causing frequent dropped call,-0.3612,0.0,0.839,0.161
The frustr ... ating customer service in my area is causing frequent dropped calls.,negative,telecom,2025-07-14 03:02:00.467939,The frustr . ating customer service in my area is causing frequent dropped calls.,"['frustr', 'ating', 'customer', 'service', 'area', 'causing', 'frequent', 'dropped', 'call']",frustr ating customer service area causing frequent dropped call,0.0,0.0,1.0,0.0
The unstable SIM card in my area is causing frequent droppe you know d calls.,negative,telecom,2025-07-13 18:31:12.633146,The unstable SIM card in my area is causing frequent droppe you know d calls.,"['unstable', 'sim', 'card', 'area', 'causing', 'frequent', 'droppe', 'know', 'call']",unstable sim card area causing frequent droppe know call,-0.3612,0.0,0.848,0.152
[REF-6385] The intermittent outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-14 14:00:24.798352,[REF-6385] The intermittent outage in my area is causing frequent dropped calls.,"['ref-6385', 'intermittent', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",ref-6385 intermittent outage area causing frequent dropped call,0.0,0.0,1.0,0.0
The frustrating dropped call in my area is causing frequent dropped calls.,negative,telecom,2025-07-14 05:44:36.963559,The frustrating dropped call in my area is causing frequent dropped calls.,"['frustrating', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating dropped call area causing frequent dropped call,-0.4404,0.0,0.791,0.209
[REF-3098] My mobile roaming was suddenly reported without any warning.,neutral,telecom,2025-07-15 01:06:49.128765,[REF-3098] My mobile roaming was suddenly reported without any warning.,"['ref-3098', 'mobile', 'roaming', 'suddenly', 'reported', 'without', 'warning']",ref-3098 mobile roaming suddenly reported without warning,0.2584,0.184,0.816,0.0
The unstable invoice i like n my area is causing frequent dropped calls.,negative,telecom,2025-07-14 07:29:01.293972,The unstable invoice i like n my area is causing frequent dropped calls.,"['unstable', 'invoice', 'like', 'n', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable invoice like n area causing frequent dropped call,0.0,0.156,0.688,0.156
The overpriced customer service in my area is causing frequent dropped calls. ?!?,negative,telecom,2025-07-14 19:58:13.459178,The overpriced customer service in my area is causing frequent dropped calls. ?,"['overpriced', 'customer', 'service', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced customer service area causing frequent dropped call,0.0,0.0,1.0,0.0
My mobile signal was suddenly escalated without any warning.,positive,telecom,2025-07-14 23:40:25.624385,My mobile signal was suddenly escalated without any warning.,"['mobile', 'signal', 'suddenly', 'escalated', 'without', 'warning']",mobile signal suddenly escalated without warning,0.2584,0.203,0.797,0.0
I need to speak with customer service about a helpful charge.,positive,telecom,2025-07-15 00:38:37.789591,I need to speak with customer service about a helpful charge.,"['need', 'speak', 'customer', 'service', 'helpful', 'charge']",need speak customer service helpful charge,0.4215,0.219,0.781,0.0
My signal has been intermittent for the past few hours.,positive,telecom,2025-07-14 16:51:49.954798,My signal has been intermittent for the past few hours.,"['signal', 'intermittent', 'past', 'hour']",signal intermittent past hour,0.0,0.0,1.0,0.0
My coverage has b you know een unlimited for the past few hours.,positive,telecom,2025-07-15 13:37:02.120004,My coverage has b you know een unlimited for the past few hours.,"['coverage', 'b', 'know', 'een', 'unlimited', 'past', 'hour']",coverage b know een unlimited past hour,0.0,0.0,1.0,0.0
The overpriced customer service in my area is causing frequent dropped calls.,negative,telecom,2025-07-15 14:38:14.285211,The overpriced customer service in my area is causing frequent dropped calls.,"['overpriced', 'customer', 'service', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced customer service area causing frequent dropped call,0.0,0.0,1.0,0.0
The frustrating signal in my area is causing frequent dropped calls.,neutral,telecom,2025-07-15 23:34:26.450417,The frustrating signal in my area is causing frequent dropped calls.,"['frustrating', 'signal', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating signal area causing frequent dropped call,-0.4404,0.0,0.775,0.225
CAN YOU CHECK IF THERE IS A SERVICE INVOICE IN MY LOCATION?,positive,telecom,2025-07-15 17:30:38.615624,CAN YOU CHECK IF THERE IS A SERVICE INVOICE IN MY LOCATION?,"['check', 'service', 'invoice', 'location']",check service invoice location,0.0,0.0,1.0,0.0
The intermittent SIM card in my area is causing frequent dropped calls.,negative,telecom,2025-07-16 02:29:50.780830,The intermittent SIM card in my area is causing frequent dropped calls.,"['intermittent', 'sim', 'card', 'area', 'causing', 'frequent', 'dropped', 'call']",intermittent sim card area causing frequent dropped call,0.0,0.0,1.0,0.0
The unstable signal in my area is causing frequent dropped calls.,negative,telecom,2025-07-15 22:10:02.946037,The unstable signal in my area is causing frequent dropped calls.,"['unstable', 'signal', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable signal area causing frequent dropped call,-0.3612,0.0,0.8,0.2
My billing has been unlimited for the past few hours.,positive,telecom,2025-07-15 17:37:15.111243,My billing has been unlimited for the past few hours.,"['billing', 'unlimited', 'past', 'hour']",billing unlimited past hour,0.0,0.0,1.0,0.0
The overpriced dropped call in my area is causing frequent dropped calls.,negative,telecom,2025-07-16 00:04:27.276450,The overpriced dropped call in my area is causing frequent dropped calls.,"['overpriced', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced dropped call area causing frequent dropped call,0.0,0.0,1.0,0.0
I need to speak with data plan about a helpful charge.!!!,positive,telecom,2025-07-16 04:19:39.441656,I need to speak with data plan about a helpful charge!,"['need', 'speak', 'data', 'plan', 'helpful', 'charge']",need speak data plan helpful charge,0.4753,0.236,0.764,0.0
The poor outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-16 07:35:51.606863,The poor outage in my area is causing frequent dropped calls.,"['poor', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",poor outage area causing frequent dropped call,-0.4767,0.0,0.763,0.237
I was restarted an incorrect amount on my recent data plan.,positive,telecom,2025-07-16 15:48:03.772070,I was restarted an incorrect amount on my recent data plan.,"['restarted', 'incorrect', 'amount', 'recent', 'data', 'plan']",restarted incorrect amount recent data plan,0.0,0.0,1.0,0.0
I need to speak with billing about a intermittent charge.,positive,telecom,2025-07-16 08:06:15.937276,I need to speak with billing about a intermittent charge.,"['need', 'speak', 'billing', 'intermittent', 'charge']",need speak billing intermittent charge,0.0,0.0,1.0,0.0
THE POOR SIM CARD IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,negative,telecom,2025-07-16 14:04:28.102483,THE POOR SIM CARD IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,"['poor', 'sim', 'card', 'area', 'causing', 'frequent', 'dropped', 'call']",poor sim card area causing frequent dropped call,-0.4767,0.0,0.78,0.22
I was charged an incorrect amount on my recent coverage.,positive,telecom,2025-07-17 03:24:40.267689,I was charged an incorrect amount on my recent coverage.,"['charged', 'incorrect', 'amount', 'recent', 'coverage']",charged incorrect amount recent coverage,-0.2023,0.0,0.833,0.167
I was upgraded an incorrect amount on my recent signal.,positive,telecom,2025-07-17 00:04:52.432896,I was upgraded an incorrect amount on my recent signal.,"['upgraded', 'incorrect', 'amount', 'recent', 'signal']",upgraded incorrect amount recent signal,0.0,0.0,1.0,0.0
I need to speak w ... ith invoice about a unlimited charge.,positive,telecom,2025-07-16 23:30:04.598102,I need to speak w . ith invoice about a unlimited charge.,"['need', 'speak', 'w', 'ith', 'invoice', 'unlimited', 'charge']",need speak w ith invoice unlimited charge,0.0,0.0,1.0,0.0
The unstable dropped call in my area is causing frequent dropped calls.,negative,telecom,2025-07-17 08:01:16.763309,The unstable dropped call in my area is causing frequent dropped calls.,"['unstable', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable dropped call area causing frequent dropped call,-0.3612,0.0,0.815,0.185
I was reported an incorrect amount on my recent signal.,neutral,telecom,2025-07-17 01:58:28.928515,I was reported an incorrect amount on my recent signal.,"['reported', 'incorrect', 'amount', 'recent', 'signal']",reported incorrect amount recent signal,0.0,0.0,1.0,0.0
My billing has been excellent for the past few hours.,positive,telecom,2025-07-17 09:40:41.093722,My billing has been excellent for the past few hours.,"['billing', 'excellent', 'past', 'hour']",billing excellent past hour,0.5719,0.291,0.709,0.0
My mobile customer service was suddenly throttled without any warning.,neutral,telecom,2025-07-17 07:53:53.258928,My mobile customer service was suddenly throttled without any warning.,"['mobile', 'customer', 'service', 'suddenly', 'throttled', 'without', 'warning']",mobile customer service suddenly throttled without warning,0.2584,0.184,0.816,0.0
The overpriced outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-17 08:24:05.424135,The overpriced outage in my area is causing frequent dropped calls.,"['overpriced', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced outage area causing frequent dropped call,0.0,0.0,1.0,0.0
My invoice has been poor for the past few hours.,neutral,telecom,2025-07-17 05:28:17.589341,My invoice has been poor for the past few hours.,"['invoice', 'poor', 'past', 'hour']",invoice poor past hour,-0.4767,0.0,0.744,0.256
The frustrating invoice in my area is causing frequent dropped calls.,negative,telecom,2025-07-17 22:45:29.754548,The frustrating invoice in my area is causing frequent dropped calls.,"['frustrating', 'invoice', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating invoice area causing frequent dropped call,-0.4404,0.0,0.775,0.225
The intermittent customer service in my area is causing frequent dropped calls.,negative,telecom,2025-07-18 01:33:41.919754,The intermittent customer service in my area is causing frequent dropped calls.,"['intermittent', 'customer', 'service', 'area', 'causing', 'frequent', 'dropped', 'call']",intermittent customer service area causing frequent dropped call,0.0,0.0,1.0,0.0
I was upgraded an incorrect amount on my recent coverage.,positive,telecom,2025-07-17 11:47:54.084961,I was upgraded an incorrect amount on my recent coverage.,"['upgraded', 'incorrect', 'amount', 'recent', 'coverage']",upgraded incorrect amount recent coverage,0.0,0.0,1.0,0.0
The poor invoice in my area is causing frequent dropped calls.,negative,telecom,2025-07-18 08:27:06.250167,The poor invoice in my area is causing frequent dropped calls.,"['poor', 'invoice', 'area', 'causing', 'frequent', 'dropped', 'call']",poor invoice area causing frequent dropped call,-0.4767,0.0,0.763,0.237
The overpriced dropped call in my area is causing frequent dropped calls....,negative,telecom,2025-07-17 19:37:18.415374,The overpriced dropped call in my area is causing frequent dropped calls.,"['overpriced', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced dropped call area causing frequent dropped call,0.0,0.0,1.0,0.0
My mobile network was suddenly upgraded without any warning.,positive,telecom,2025-07-18 12:06:30.580580,My mobile network was suddenly upgraded without any warning.,"['mobile', 'network', 'suddenly', 'upgraded', 'without', 'warning']",mobile network suddenly upgraded without warning,0.2584,0.203,0.797,0.0
[REF-9524] The frustrating network in my area is causing frequent dropped calls.,negative,telecom,2025-07-18 04:18:42.745787,[REF-9524] The frustrating network in my area is causing frequent dropped calls.,"['ref-9524', 'frustrating', 'network', 'area', 'causing', 'frequent', 'dropped', 'call']",ref-9524 frustrating network area causing frequent dropped call,-0.4404,0.0,0.791,0.209
The unstable invoice in my area is causing frequent dropped calls.,negative,telecom,2025-07-18 19:17:54.910993,The unstable invoice in my area is causing frequent dropped calls.,"['unstable', 'invoice', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable invoice area causing frequent dropped call,-0.3612,0.0,0.8,0.2
MY MOBILE DATA PLAN WAS SUDDENLY RESTARTED WITHOUT ANY WARNING.,positive,telecom,2025-07-18 08:19:07.076200,MY MOBILE DATA PLAN WAS SUDDENLY RESTARTED WITHOUT ANY WARNING.,"['mobile', 'data', 'plan', 'suddenly', 'restarted', 'without', 'warning']",mobile data plan suddenly restarted without warning,0.2584,0.184,0.816,0.0
I need to speak with roaming about a helpful charge.,positive,telecom,2025-07-19 00:17:19.241406,I need to speak with roaming about a helpful charge.,"['need', 'speak', 'roaming', 'helpful', 'charge']",need speak roaming helpful charge,0.4215,0.237,0.763,0.0
I NEED TO SPEAK WITH INVOICE ABOUT A EXCELLENT CHARGE.,positive,telecom,2025-07-19 03:46:31.406613,I NEED TO SPEAK WITH INVOICE ABOUT A EXCELLENT CHARGE.,"['need', 'speak', 'invoice', 'excellent', 'charge']",need speak invoice excellent charge,0.5719,0.291,0.709,0.0
The frustrating network in my area is causing frequent dropped calls.,negative,telecom,2025-07-18 17:27:43.571819,The frustrating network in my area is causing frequent dropped calls.,"['frustrating', 'network', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating network area causing frequent dropped call,-0.4404,0.0,0.775,0.225
The overpriced outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-19 06:07:55.737026,The overpriced outage in my area is causing frequent dropped calls.,"['overpriced', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced outage area causing frequent dropped call,0.0,0.0,1.0,0.0
I was resolved an incorrect amount on my recent data plan.!!!,positive,telecom,2025-07-19 00:55:07.902232,I was resolved an incorrect amount on my recent data plan!,"['resolved', 'incorrect', 'amount', 'recent', 'data', 'plan']",resolved incorrect amount recent data plan,0.2481,0.166,0.834,0.0
The unstable network in my area is causing frequent dropped calls.,negative,telecom,2025-07-19 08:43:20.067439,The unstable network in my area is causing frequent dropped calls.,"['unstable', 'network', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable network area causing frequent dropped call,-0.3612,0.0,0.8,0.2
The poor dropped call in my area is causing frequent dropped calls.,negative,telecom,2025-07-19 19:43:32.232645,The poor dropped call in my area is causing frequent dropped calls.,"['poor', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",poor dropped call area causing frequent dropped call,-0.4767,0.0,0.78,0.22
Can you check if there is a service network in my location?,neutral,telecom,2025-07-19 08:39:44.397852,Can you check if there is a service network in my location?,"['check', 'service', 'network', 'location']",check service network location,0.0,0.0,1.0,0.0
The unstable signal in my area is causing frequent dropped calls.,negative,telecom,2025-07-19 15:19:56.563058,The unstable signal in my area is causing frequent dropped calls.,"['unstable', 'signal', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable signal area causing frequent dropped call,-0.3612,0.0,0.8,0.2
I was resolved an incorrect amount on my recent customer service.,positive,telecom,2025-07-20 04:01:08.728265,I was resolved an incorrect amount on my recent customer service.,"['resolved', 'incorrect', 'amount', 'recent', 'customer', 'service']",resolved incorrect amount recent customer service,0.1779,0.145,0.855,0.0
The intermittent signal in my area is causing frequent dropped calls.,neutral,telecom,2025-07-20 07:08:20.893471,The intermittent signal in my area is causing frequent dropped calls.,"['intermittent', 'signal', 'area', 'causing', 'frequent', 'dropped', 'call']",intermittent signal area causing frequent dropped call,0.0,0.0,1.0,0.0
THE UNSTABLE DROPPED CALL IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,negative,telecom,2025-07-19 19:10:33.058678,THE UNSTABLE DROPPED CALL IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,"['unstable', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable dropped call area causing frequent dropped call,-0.3612,0.0,0.815,0.185
The poor roaming in my area is causing frequent dropped calls.,negative,telecom,2025-07-20 12:17:45.223884,The poor roaming in my area is causing frequent dropped calls.,"['poor', 'roaming', 'area', 'causing', 'frequent', 'dropped', 'call']",poor roaming area causing frequent dropped call,-0.4767,0.0,0.763,0.237
I need to speak with outage about a unstable charge.,neutral,telecom,2025-07-19 19:24:57.389091,I need to speak with outage about a unstable charge.,"['need', 'speak', 'outage', 'unstable', 'charge']",need speak outage unstable charge,-0.3612,0.0,0.783,0.217
My customer service has been unlimited for the past few hours. ?!?,positive,telecom,2025-07-20 01:10:09.554297,My customer service has been unlimited for the past few hours. ?,"['customer', 'service', 'unlimited', 'past', 'hour']",customer service unlimited past hour,0.0,0.0,1.0,0.0
The unstable signal in my area is causing frequent dropped calls. ?!?,negative,telecom,2025-07-20 06:49:21.719504,The unstable signal in my area is causing frequent dropped calls. ?,"['unstable', 'signal', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable signal area causing frequent dropped call,-0.3612,0.0,0.815,0.185
